GEOID10,H72003_dp,H72004_dp,H72005_dp,H72006_dp,H72007_dp,H72008_dp,H72009_dp,H72003_sf,H72004_sf,H72005_sf,H72006_sf,H72007_sf,H72008_sf,H72009_sf
390490026003,414,865,11,23,1,656,69,405,845,8,20,0,649,88
390490027101,271,938,16,12,7,67,64,268,939,13,6,11,61,68
390490027102,152,243,0,1,3,66,15,156,244,2,5,0,74,11
390490027301,326,784,7,11,0,35,60,342,780,5,15,1,33,48
390490027302,240,558,2,11,0,29,43,229,562,2,8,0,23,56
390490027401,701,85,1,8,0,8,5,692,79,0,5,0,12,7
390490027402,586,113,2,4,0,18,5,590,106,2,6,0,0,10
390490027403,451,287,2,5,0,10,22,459,301,2,4,1,26,14
390490027501,223,660,2,17,0,25,48,217,663,2,15,0,24,58
390490027502,476,739,0,27,6,45,83,477,736,1,27,5,45,79
390490027601,639,167,4,7,0,13,21,621,162,5,7,0,10,24
390490027602,529,467,2,16,1,25,32,538,475,1,14,0,15,27
390490027603,565,513,4,7,2,34,20,567,517,2,11,2,43,25
390490027701,184,342,0,8,0,12,33,196,354,1,8,1,10,26
390490027702,354,952,11,10,1,35,50,345,941,6,10,1,40,56
390490027801,558,583,4,23,0,11,31,566,589,3,12,0,8,24
390490027802,880,292,0,7,0,5,28,873,288,2,17,0,4,37
390490028001,33,418,4,0,0,4,25,38,417,0,1,0,2,25
390490028002,29,584,2,3,0,3,22,28,596,4,0,0,0,13
390490028003,12,623,3,1,3,6,15,17,609,0,1,4,12,23
390490028004,192,576,11,8,2,3,45,194,572,11,7,0,4,51
390490029001,50,1110,2,16,39,11,43,48,1094,1,17,48,13,37
390490029002,50,991,3,4,9,6,31,49,1005,4,3,3,7,39
390490030001,695,187,2,50,0,11,37,700,179,3,37,0,10,39
390490030002,768,109,3,39,0,3,29,770,111,1,46,0,5,18
390490030003,610,497,0,22,0,12,32,612,489,6,23,0,10,46
390490032001,1798,142,6,85,0,70,48,1801,145,5,83,0,72,41
390490036001,144,473,1,1,0,5,31,132,494,2,3,0,5,30
390490036002,104,634,4,5,0,2,40,109,622,4,1,0,1,39
390490037001,241,419,3,2,0,3,35,239,419,0,1,0,4,32
