PUMAID,RAC1P,RAC3P,AGEP,HISP,RELSHIPP,SEX
3904101,9,17,30,1,20,1
3904101,1,1,33,1,21,2
3904102,1,1,30,1,20,1
3904102,1,1,29,1,21,2
3904110,1,1,29,1,20,2
3904104,1,1,57,1,20,1
3904104,1,1,60,1,21,2
3904108,1,1,48,1,20,2
3904108,9,16,24,1,25,1
3904107,2,2,74,1,20,2
3904107,2,2,77,1,21,1
3904107,2,2,53,1,25,2
3904107,2,2,25,1,30,1
3904107,1,1,35,1,20,2
3904107,1,1,27,1,34,2
3904105,1,1,22,1,20,1
3904105,1,1,22,1,34,2
3904106,2,2,77,1,20,1
3904111,1,1,69,1,20,1
3904105,2,2,44,1,20,2
3904107,2,2,84,1,20,2
3904107,2,2,28,1,30,2
3904110,1,1,61,1,20,2
3904110,1,1,37,2,25,2
3904110,1,1,36,1,25,2
3904110,1,1,22,1,30,1
3904110,1,1,20,1,30,1
3904110,1,1,9,1,30,1
3904109,1,1,48,1,20,2
3904109,1,1,53,1,21,1
3904110,1,1,43,1,20,2
3904110,1,1,45,1,21,1
3904110,1,1,18,1,25,2
3904110,1,1,56,1,20,1
3904103,1,1,50,1,20,2
3904103,1,1,30,1,25,2
3904103,1,1,10,1,30,1
3904109,2,2,83,1,20,2
