PUMAID,SEX,RAC1P,AGEP,DIS,MSP,MIG,MIL,SCHL,FOD1P,HICOV,PRIVCOV,PUBCOV,PINCP,POVPIP,COW,ESR,SOCP,JWMNP,JWRIP,JWTRNS
3904105,1,9,20,2,6.0,3.0,4.0,16.0,,1,1,2,460.0,3.0,8.0,6.0,537062,,,
3904105,1,9,20,2,6.0,1.0,4.0,15.0,,1,1,2,2400.0,19.0,1.0,1.0,412031,5.0,1.0,1.0
3904105,1,1,19,2,6.0,3.0,4.0,19.0,,1,1,2,30500.0,247.0,1.0,6.0,119051,,,
3904105,1,1,19,2,6.0,3.0,4.0,19.0,,1,1,2,10000.0,81.0,1.0,1.0,119051,30.0,,10.0
3904105,1,2,19,2,6.0,1.0,4.0,14.0,,1,1,2,4000.0,32.0,3.0,1.0,434051,25.0,,12.0
3904105,1,1,19,2,6.0,3.0,4.0,16.0,,1,1,2,0.0,0.0,1.0,6.0,537062,,,
3904105,1,1,19,2,6.0,3.0,4.0,19.0,,1,1,2,0.0,0.0,6.0,6.0,119013,,,
3904105,1,1,19,2,6.0,3.0,4.0,19.0,,1,1,2,6500.0,52.0,1.0,6.0,4520XX,,,
3904105,1,1,18,2,6.0,3.0,4.0,16.0,,1,1,2,0.0,0.0,1.0,6.0,537062,,,
3904105,1,1,18,2,6.0,3.0,4.0,19.0,,1,1,2,30500.0,247.0,1.0,6.0,119051,,,
3904105,1,1,18,2,6.0,3.0,4.0,19.0,,1,2,1,0.0,0.0,,6.0,,,,
3904110,2,1,53,2,4.0,1.0,4.0,20.0,,2,2,2,38000.0,233.0,1.0,1.0,436014,20.0,1.0,1.0
3904110,2,1,9,2,,1.0,,5.0,,1,2,1,,233.0,,,,,,
3904105,2,1,74,2,6.0,1.0,4.0,21.0,3301.0,1,2,1,16240.0,143.0,,6.0,,,,
3904109,2,1,52,2,1.0,1.0,4.0,12.0,,1,1,2,29100.0,385.0,1.0,1.0,37201X,15.0,1.0,1.0
3904109,1,1,54,1,1.0,1.0,4.0,16.0,,1,1,2,49000.0,385.0,2.0,1.0,411011,35.0,1.0,1.0
3904109,2,1,25,2,6.0,1.0,4.0,16.0,,1,2,1,17000.0,385.0,1.0,1.0,252010,10.0,1.0,1.0
3904109,2,1,19,2,6.0,1.0,4.0,16.0,,1,1,2,20000.0,385.0,1.0,1.0,5191XX,15.0,1.0,1.0
3904109,1,1,6,2,,1.0,,3.0,,1,2,1,,385.0,,,,,,
3904109,2,2,48,2,1.0,1.0,4.0,19.0,,1,1,2,54000.0,501.0,1.0,1.0,436014,40.0,1.0,1.0
3904109,1,2,52,2,1.0,1.0,4.0,16.0,,1,1,2,52000.0,501.0,1.0,1.0,519061,30.0,1.0,1.0
3904106,2,1,79,1,3.0,1.0,4.0,16.0,,1,2,1,14950.0,131.0,,6.0,,,,
3904103,2,1,79,2,3.0,1.0,4.0,19.0,,1,1,1,34000.0,299.0,,6.0,,,,
3904107,1,2,30,2,1.0,1.0,4.0,16.0,,1,1,2,21800.0,252.0,1.0,1.0,351012,30.0,1.0,1.0
3904107,2,2,26,2,1.0,1.0,4.0,16.0,,1,2,1,18200.0,252.0,1.0,1.0,412010,30.0,1.0,1.0
3904102,1,1,48,2,3.0,1.0,3.0,21.0,6203.0,1,1,2,86000.0,452.0,1.0,1.0,1191XX,20.0,1.0,1.0
3904102,2,1,16,2,6.0,1.0,,12.0,,1,1,2,260.0,452.0,2.0,6.0,33909X,,,
3904102,1,1,12,2,,1.0,,8.0,,1,1,2,,452.0,,,,,,
3904107,2,1,21,2,6.0,1.0,4.0,19.0,,1,1,2,3200.0,25.0,1.0,1.0,399011,15.0,1.0,1.0
3904109,2,1,25,1,6.0,1.0,4.0,16.0,,1,2,1,3300.0,26.0,,6.0,,,,
3904103,1,1,27,2,6.0,1.0,4.0,19.0,,1,1,2,40000.0,324.0,1.0,1.0,112022,15.0,1.0,1.0
