BLK,detail,va_race,race
390490010004000,1,1,1
390490010004001,0,0,0
390490010004002,3,0,0
390490010004003,0,0,0
390490010005000,3,0,0
390490010005001,2,2,0
390490010005002,1,0,0
390490010005003,1,1,1
390490010005004,0,0,0
390490010005005,4,3,2
390490010005006,0,0,0
390490010005007,2,1,1
390490010005008,0,0,0
390490010006000,2,1,1
390490010006001,1,1,1
390490010006002,2,2,1
390490010006003,1,1,0
390490010006004,2,0,0
390490010006005,3,3,3
390490010006006,1,0,0
390490010006007,2,2,2
390490010006008,3,3,2
390490010006009,0,0,0
390490010006010,0,0,0
390490010006011,0,0,0
390490010006012,0,0,0
390490011101000,2,1,1
390490011101001,2,0,0
390490011101002,1,1,1
390490011101003,1,1,1
390490011101004,2,1,1
390490011101005,2,1,1
390490011101006,0,0,0
390490011101007,0,0,0
390490011101008,2,2,1
390490011102000,1,1,1
390490011102001,3,2,2
390490011102002,1,1,1
390490011102003,1,0,0
390490011103000,2,0,0
390490011103001,0,0,0
390490011103002,5,1,1
390490011103003,0,0,0
390490011103004,2,1,1
390490011211000,0,0,0
390490011211001,0,0,0
390490011211002,1,0,0
390490011211003,0,0,0
390490011212000,1,1,0
390490011212001,1,1,1
390490011212002,0,0,0
390490011212003,1,0,0
390490011212004,0,0,0
390490011212005,0,0,0
390490011212006,0,0,0
390490011212007,0,0,0
390490011212008,0,0,0
390490011213000,1,0,0
390490011213001,0,0,0
390490011213002,1,1,1
390490011213003,1,0,0
390490011213004,1,1,1
390490011213005,2,2,0
390490011221000,0,0,0
390490011221001,0,0,0
390490011221002,0,0,0
390490011221003,1,1,0
390490011221004,0,0,0
390490011221005,0,0,0
390490011221006,0,0,0
390490011221007,0,0,0
390490011221008,0,0,0
390490011221009,0,0,0
390490011221010,0,0,0
390490011221011,0,0,0
390490011221012,3,2,2
390490011221013,0,0,0
390490011221014,0,0,0
390490011221015,0,0,0
390490011221016,0,0,0
390490011221017,0,0,0
390490011221018,0,0,0
390490011221019,0,0,0
390490011221020,0,0,0
390490011221021,0,0,0
390490011221022,0,0,0
390490011221023,0,0,0
390490011221024,0,0,0
390490011221025,0,0,0
390490011221026,0,0,0
390490011221027,0,0,0
390490011221028,0,0,0
390490011221029,0,0,0
390490011221030,0,0,0
390490011221031,0,0,0
390490011221032,0,0,0
390490011221033,0,0,0
390490011221034,0,0,0
390490011221035,0,0,0
390490011221036,0,0,0
390490011221037,1,1,1
390490011221038,2,0,0
390490011221039,0,0,0
390490011221040,0,0,0
390490011221041,2,1,1
390490011221042,0,0,0
390490011221043,0,0,0
390490011221044,1,1,0
390490011221045,0,0,0
